,node,Base,BGN,BGNx3,UG+I,V,I,G&I
0,J1-S_depth,0,0,0,0,0,0,
1,J10-S_depth,0,0,0,0,-15,-50,
2,J105-S_depth,0,0,0,0,0,0,
3,J116-S_depth,0,0,0,0,0,-15,
4,J119-S_depth,0,0,0,0,-5,-5,
5,J128-S_depth,0,0,0,0,0,-45,
6,J130-S_depth,0,0,0,0,0,-25,
7,J131-S_depth,0,0,0,0,0,-15,
8,J136-S_depth,0,0,0,0,0,-40,
9,J138-S_depth,0,0,0,0,0,5,
10,J141-S_depth,0,0,0,0,0,0,
11,J157-S_depth,0,0,0,0,-15,-40,
12,J163-S_depth,0,0,0,0,0,0,
13,J165-S_depth,0,0,0,0,0,0,
14,J171-S_depth,0,0,0,0,0,0,
15,J177-S_depth,0,0,0,0,0,0,
16,J182-S_depth,0,0,0,0,0,-45,
17,J191-S_depth,0,0,0,0,0,-25,
18,J204-S_depth,0,0,0,0,0,0,
19,J208-S_depth,0,0,0,0,0,0,
20,J211-S_depth,0,0,-10,0,0,-15,
21,J227-S_depth,0,0,0,0,0,-15,
22,J231-S_depth,0,0,0,0,0,0,
23,J232-S_depth,0,0,0,0,0,0,
24,J234-S_depth,0,0,0,0,0,0,
25,J238-S_depth,0,0,0,0,0,0,
26,J240-S_depth,0,0,0,0,0,0,
27,J245-S_depth,0,0,0,0,0,-40,
28,J253-S_depth,0,0,-15,-5,-15,-25,
29,J260-S_depth,0,0,0,0,0,0,
30,J266-S_depth,0,0,0,0,0,0,
31,J268-S_depth,0,0,0,0,0,0,
32,J27-S_depth,0,0,0,0,0,-25,
33,J273-S_depth,0,0,0,0,0,0,
34,J278-S_depth,0,0,0,0,-5,-15,
35,J280-S_depth,0,-5,-5,0,-5,-20,
36,J3-S_depth,0,0,0,0,-5,-35,
37,J328-S_depth,0,0,0,0,-10,0,
38,J329-S_depth,0,0,0,0,0,-10,
39,J33-S_depth,0,0,0,0,0,-35,
40,J338-S_depth,0,0,-10,0,-5,-25,
41,J34-S_depth,0,0,0,0,0,0,
42,J361-S_depth,0,0,0,0,0,-15,
43,J366-S_depth,0,0,0,0,0,-25,
44,J385-S_depth,0,-5,-10,-5,-10,15,
45,J4-S_depth,0,0,0,0,0,-20,
46,J413-S_depth,0,-5,-5,0,-5,0,
47,J42-S_depth,0,0,0,0,0,0,
48,J421-S_depth,0,-5,-15,-15,-15,-25,
49,J433-S_depth,0,0,0,0,0,0,
50,J437-S_depth,0,0,-10,0,-5,-25,
51,J438-S_depth,0,0,-5,0,-5,-75,
52,J45-S_depth,0,0,0,0,0,0,
53,J450-S_depth,0,0,0,0,0,0,
54,J456-S_depth,0,0,0,0,0,0,
55,J46-S_depth,0,0,0,0,0,0,
56,J460-S_depth,0,0,0,0,0,0,
57,J461-S_depth,0,0,0,0,0,0,
58,J471-S_depth,0,0,0,0,0,5,
59,J480-S_depth,0,0,0,0,0,0,
60,J484-S_depth,0,0,0,0,0,-30,
61,J49-S_depth,0,0,0,0,0,0,
62,J491-S_depth,0,0,0,0,0,-15,
63,J492-S_depth,0,0,0,0,0,0,
64,J5-S_depth,0,0,0,0,0,-20,
65,J50-S_depth,0,0,0,0,0,0,
66,J506-S_depth,0,0,0,0,0,0,
67,J507-S_depth,0,0,0,0,0,-25,
68,J512-S_depth,0,0,0,0,-10,-40,
69,J534-S_depth,0,0,-10,0,0,-10,
70,J539-S_depth,0,0,0,0,-5,-35,
71,J541-S_depth,0,0,0,0,0,0,
72,J548-S_depth,0,0,0,0,-25,5,
73,J556-S_depth,0,0,0,0,0,-35,
74,J567-S_depth,0,0,0,0,0,0,
75,J568-S_depth,0,0,0,0,0,-20,
76,J571-S_depth,0,0,0,0,0,0,
77,J576-S_depth,0,0,-5,-10,-5,-40,
78,J578-S_depth,0,0,-10,-10,-10,-30,
79,J586-S_depth,0,0,0,0,0,0,
80,J587-S_depth,0,0,0,0,-10,0,
81,J592-S_depth,0,0,0,0,0,0,
82,J60-S_depth,0,0,0,0,0,0,
83,J609-S_depth,0,0,0,0,0,0,
84,J619-S_depth,0,0,0,0,-5,0,
85,J62-S_depth,0,0,0,0,0,-30,
86,J620-S_depth,0,-5,-20,-5,-20,-5,
87,J624-S_depth,0,-15,-20,5,-15,0,
88,J632-S_depth,0,0,0,0,0,0,
89,J637-S_depth,0,0,0,0,0,-20,
90,J640-S_depth,0,0,0,0,-5,-30,
91,J659-S_depth,0,0,0,0,0,0,
92,J672-S_depth,0,0,0,0,0,-5,
93,J675-S_depth,0,0,0,0,0,0,
94,J686-S_depth,0,0,0,0,0,0,
95,J694-S_depth,0,0,0,0,0,0,
96,J695-S_depth,0,0,0,0,0,-20,
97,J7-S_depth,0,0,0,0,-5,-30,
98,J71-S_depth,0,0,0,0,0,-25,
99,J712-S_depth,0,0,0,0,0,0,
100,J714-S_depth,0,0,0,0,0,0,
101,J72-S_depth,0,0,0,0,0,0,
102,J722-S_depth,0,0,0,0,0,0,
103,J732-S_depth,0,0,0,0,0,-30,
104,J733-S_depth,0,0,0,0,0,0,
105,J748-S_depth,0,0,0,0,0,0,
106,J749-S_depth,0,0,-20,0,-10,-25,
107,J751-S_depth,0,0,0,0,0,0,
108,J756-S_depth,0,0,0,0,0,0,
109,J758-S_depth,0,0,0,0,0,0,
110,J760-S_depth,0,0,0,0,0,0,
111,J761-S_depth,0,0,-10,0,0,-70,
112,J762-S_depth,0,0,0,0,0,0,
113,J764-S_depth,0,0,0,0,0,0,
114,J765-S_depth,0,0,0,0,0,-15,
115,J772-S_depth,0,0,0,0,0,0,
116,J78-S_depth,0,0,0,0,0,0,
117,J782-S_depth,0,0,0,0,0,0,
118,J787-S_depth,0,0,0,0,0,0,
119,J789-S_depth,0,0,0,-5,-5,-15,
120,J792-S_depth,0,0,0,0,0,0,
121,J799-S_depth,0,0,0,0,0,-20,
122,J8-S_depth,0,0,0,0,0,-20,
123,J80-S_depth,0,0,0,0,0,0,
124,J801-S_depth,0,0,0,0,0,0,
125,J88-S_depth,0,0,0,0,-5,-30,
